timestamp,proc_stat_cpu_all,proc_stat_cpu_guest,proc_stat_cpu_idle,proc_stat_cpu_iowait,proc_stat_cpu_irq,proc_stat_cpu_nguest,proc_stat_cpu_nice,proc_stat_cpu_num,proc_stat_cpu_soft,proc_stat_cpu_steal,proc_stat_cpu_sys,proc_stat_cpu_user
1458857477,8,1,92,0,0,0,0,24,2,0,1,1
1458857478,11,2,89,0,0,0,0,24,3,0,1,3
1458857479,10,3,90,0,0,0,0,24,2,0,1,3
1458857480,9,2,91,0,0,0,0,24,2,0,1,2
1458857481,10,2,90,0,0,0,0,24,3,0,1,3
1458857482,11,2,89,0,0,0,0,24,2,0,1,3
1458857483,9,1,91,0,0,0,0,24,2,0,1,2
1458857484,11,2,89,0,0,0,0,24,3,0,1,3
1458857485,0,3,118,0,0,0,0,24,4,0,3,4
1458857486,10,2,90,0,0,0,0,24,2,0,1,2
1458857487,11,2,89,0,0,0,0,24,3,0,1,2
1458857488,10,3,90,0,0,0,0,24,2,0,1,3
1458857489,11,2,89,0,0,0,0,24,2,0,1,2
1458857491,11,2,89,0,0,0,0,24,3,0,1,2
1458857492,10,3,90,0,0,0,0,24,2,0,1,3
1458857493,9,2,91,0,0,0,0,24,2,0,1,2
1458857494,10,2,90,0,0,0,0,24,2,0,1,3
1458857495,10,3,90,0,0,0,0,24,2,0,1,3
1458857496,0,3,118,0,0,0,0,24,4,0,2,3
1458857497,9,1,91,0,0,0,0,24,2,0,1,2
1458857498,9,2,91,0,0,0,0,24,2,0,1,3
1458857499,9,2,91,0,0,0,0,24,2,0,1,3
1458857500,9,1,91,0,0,0,0,24,2,0,1,2
1458857501,8,2,92,0,0,0,0,24,2,0,1,2
1458857502,8,2,92,0,0,0,0,24,2,0,1,3
1458857503,7,1,93,0,0,0,0,24,2,0,1,1
1458857504,9,2,91,0,0,0,0,24,3,0,1,3
1458857505,8,2,92,0,0,0,0,24,2,0,0,2
1458857506,0,2,124,0,0,0,0,24,3,0,2,3
1458857507,7,1,93,0,0,0,0,24,2,0,1,2
1458857508,8,2,92,0,0,0,0,24,2,0,0,3
1458857509,7,1,93,0,0,0,0,24,2,0,1,2
1458857510,6,1,94,0,0,0,0,24,2,0,0,1
1458857511,10,3,90,0,0,0,0,24,2,0,1,3
1458857512,9,2,91,0,0,0,0,24,2,0,1,2
1458857514,10,2,90,0,0,0,0,24,3,0,1,3
1458857515,10,2,90,0,0,0,0,24,2,0,1,3
1458857516,10,2,90,0,0,0,0,24,3,0,1,3
1458857517,0,2,115,0,0,0,0,24,4,0,3,3
1458857518,10,3,90,0,0,0,0,24,2,0,1,3
1458857519,10,2,90,0,0,0,0,24,3,0,1,3
1458857520,10,1,90,0,0,0,0,24,2,0,1,2
1458857521,10,3,90,0,0,0,0,24,3,0,1,3
1458857522,10,2,90,0,0,0,0,24,3,0,1,3
1458857523,8,1,92,0,0,0,0,24,2,0,1,1
1458857524,10,2,90,0,0,0,0,24,2,0,1,3
1458857525,9,2,91,0,0,0,0,24,2,0,1,3
1458857526,8,1,92,0,0,0,0,24,2,0,1,2
1458857527,0,3,115,0,0,0,0,24,3,0,2,3
1458857528,11,3,89,0,0,0,0,24,2,0,1,3
1458857529,7,2,93,0,0,0,0,24,2,0,1,2
1458857530,8,2,92,0,0,0,0,24,2,0,1,2
1458857531,11,2,89,0,0,0,0,24,2,0,1,3
1458857532,10,2,90,0,0,0,0,24,2,0,1,2
1458857533,10,2,90,0,0,0,0,24,3,0,1,3
1458857534,11,2,89,0,0,0,0,24,3,0,1,3
1458857535,10,2,90,0,0,0,0,24,3,0,1,3
1458857536,10,2,90,0,0,0,0,24,3,0,1,3
1458857538,0,3,111,0,0,0,0,24,4,0,2,4
1458857539,10,2,90,0,0,0,0,24,2,0,1,3
1458857540,10,2,90,0,0,0,0,24,2,0,1,2
1458857541,10,2,90,0,0,0,0,24,2,0,1,3
1458857542,9,2,91,0,0,0,0,24,2,0,1,3
1458857543,9,1,91,0,0,0,0,24,2,0,1,2
1458857544,10,2,90,0,0,0,0,24,2,0,1,3
1458857545,8,2,92,0,0,0,0,24,2,0,1,2
1458857546,8,2,92,0,0,0,0,24,2,0,1,2
1458857547,9,3,91,0,0,0,0,24,2,0,1,3
1458857548,0,3,114,0,0,0,0,24,3,0,2,3
1458857549,8,1,92,0,0,0,0,24,2,0,1,2
1458857550,10,2,90,0,0,0,0,24,2,0,1,2
1458857551,9,2,91,0,0,0,0,24,2,0,1,3
1458857552,9,1,91,0,0,0,0,24,2,0,1,2
1458857553,11,2,89,0,0,0,0,24,3,0,1,3
1458857554,10,2,90,0,0,0,0,24,2,0,1,3
1458857555,9,2,91,0,0,0,0,24,3,0,1,2
1458857556,10,2,90,0,0,0,0,24,2,0,1,3
1458857557,11,2,89,0,0,0,0,24,2,0,1,3
1458857559,0,3,112,0,0,0,0,24,3,0,2,3
1458857560,10,2,90,0,0,0,0,24,2,0,1,2
1458857561,10,3,90,0,0,0,0,24,3,0,1,3
1458857562,10,2,90,0,0,0,0,24,2,0,1,2
1458857563,11,2,89,0,0,0,0,24,2,0,1,2
1458857564,11,3,89,0,0,0,0,24,3,0,1,3
1458857565,11,2,89,0,0,0,0,24,2,0,1,2
1458857566,11,2,89,0,0,0,0,24,3,0,1,3
1458857567,11,2,89,0,0,0,0,24,3,0,1,3
1458857568,10,2,90,0,0,0,0,24,2,0,1,2
1458857569,0,3,115,0,0,0,0,24,3,0,2,3
1458857570,12,2,88,0,0,0,0,24,3,0,1,3
1458857571,10,2,90,0,0,0,0,24,2,0,1,3
1458857572,9,2,91,0,0,0,0,24,2,0,1,2
1458857573,10,2,90,0,0,0,0,24,2,0,1,3
1458857574,10,2,90,0,0,0,0,24,2,0,1,3
1458857575,8,2,92,0,0,0,0,24,2,0,1,2
1458857576,11,2,89,0,0,0,0,24,2,0,1,3
1458857577,9,2,91,0,0,0,0,24,2,0,1,2
1458857578,10,2,90,0,0,0,0,24,2,0,1,2
1458857579,0,3,112,0,0,0,0,24,3,0,3,3
1458857580,10,2,90,0,0,0,0,24,2,0,1,3
1458857581,10,1,90,0,0,0,0,24,2,0,1,2
1458857582,10,2,90,0,0,0,0,24,3,0,1,2
1458857583,11,2,89,0,0,0,0,24,3,0,1,3
1458857584,10,2,90,0,0,0,0,24,2,0,1,2
1458857585,11,2,89,0,0,0,0,24,3,0,1,3
1458857586,10,2,90,0,0,0,0,24,2,0,1,3
1458857590,0,7,273,0,0,0,0,24,8,0,4,8
1458857591,10,2,90,0,0,0,0,24,2,0,1,2
1458857592,0,3,113,0,0,0,0,24,3,0,2,4
1458857593,10,3,90,0,0,0,0,24,2,0,1,3
1458857594,9,2,91,0,0,0,0,24,2,0,1,3
1458857595,10,2,90,0,0,0,0,24,3,0,1,2
1458857596,10,2,90,0,0,0,0,24,3,0,1,3
1458857597,10,2,90,0,0,0,0,24,2,0,1,2
1458857598,10,2,90,0,0,0,0,24,2,0,1,2
1458857599,10,2,90,0,0,0,0,24,2,0,1,3
1458857600,10,2,90,0,0,0,0,24,2,0,1,2
1458857601,9,2,91,0,0,0,0,24,2,0,1,2
1458857602,0,3,116,0,0,0,0,24,3,0,2,3
1458857603,8,2,92,0,0,0,0,24,2,0,1,2
1458857604,8,1,92,0,0,0,0,24,2,0,1,2
1458857605,7,2,93,0,0,0,0,24,2,0,0,2
1458857606,7,2,93,0,0,0,0,24,2,0,1,2
1458857607,6,1,94,0,0,0,0,24,2,0,0,1
1458857608,8,2,92,0,0,0,0,24,2,0,1,2
1458857609,7,2,93,0,0,0,0,24,2,0,1,2
1458857610,8,1,92,0,0,0,0,24,2,0,1,2
1458857611,9,2,91,0,0,0,0,24,2,0,1,3
1458857613,0,3,111,0,0,0,0,24,3,0,2,3
1458857614,10,1,90,0,0,0,0,24,2,0,1,2
1458857615,8,2,92,0,0,0,0,24,3,0,1,2
1458857616,9,2,91,0,0,0,0,24,2,0,1,3
1458857617,9,1,91,0,0,0,0,24,2,0,1,2
1458857618,10,2,90,0,0,0,0,24,3,0,1,3
1458857619,9,2,91,0,0,0,0,24,2,0,1,2
1458857620,8,2,92,0,0,0,0,24,2,0,1,2
